,sel_features
0,M_AtomicRadii
1,M_Affinity
2,M_Ionization
3,L_afpC3_C3_C3
4,L_afpC3_C3_C4
5,L_afpC3_C3_F1
6,L_afpC3_C3_N2
7,L_afpC3_C3_N3
8,L_afpC3_C3_O1
9,L_afpC3_C3_O2
10,L_afpC3_N3_N2
11,L_afpC3_O2_H1
12,L_afpC4_C3_O1
13,L_afpC4_C3_O2
14,L_afpC4_C4_N3
15,L_afpC4_N3_C4
16,L_afpC4_N3_H1
17,L_afpH1_C3_N2
18,L_afpH1_C4_N3
19,L_afpO1_C3_O2
20,L_efpfam_acrylate
21,L_efpfam_ketone
22,L_efpfam_single
23,L_mfpMQNs17
24,L_mfpMQNs20
25,L_mfpMQNs27
26,L_mfpMQNs29
27,L_mfpMQNs30
28,L_mfpMQNs32
29,L_mfpMQNs35
30,L_mfpMQNs36
31,L_mfpMQNs41
32,L_mfpMQNs42
33,L_linkermetalratio
34,L_no
35,L_noh
36,L_nh2o
