ID,Common name,Stability,Activated formula unit_x,Metal,Nmetal,M_AtomicRadii,M_Electronegativity,M_Valency,M_Affinity,M_Ionization,Activated formula unit_y,Linker,NLinker,L_acid-pKa,L_afpBr1_C3_C3,L_afpC2_C2_C2,L_afpC2_C2_C3,L_afpC2_C3_C3,L_afpC2_C3_N2,L_afpC3_C3_C3,L_afpC3_C3_C4,L_afpC3_C3_Cl1,L_afpC3_C3_F1,L_afpC3_C3_H1,L_afpC3_C3_N2,L_afpC3_C3_N3,L_afpC3_C3_O1,L_afpC3_C3_O2,L_afpC3_C3_P4,L_afpC3_C3_S2,L_afpC3_C4_C3,L_afpC3_C4_C4,L_afpC3_C4_F1,L_afpC3_C4_H1,L_afpC3_C4_N2,L_afpC3_C4_N3,L_afpC3_C4_O2,L_afpC3_C4_P4,L_afpC3_N2_C3,L_afpC3_N2_C4,L_afpC3_N2_N2,L_afpC3_N2_N3,L_afpC3_N3_C3,L_afpC3_N3_C4,L_afpC3_N3_H1,L_afpC3_N3_N2,L_afpC3_N3_N3,L_afpC3_N3_O1,L_afpC3_N3_O2,L_afpC3_O2_C3,L_afpC3_O2_C4,L_afpC3_O2_H1,L_afpC3_P4_O1,L_afpC3_P4_O2,L_afpC3_S2_C3,L_afpC3_S2_H1,L_afpC4_C3_C4,L_afpC4_C3_H1,L_afpC4_C3_N2,L_afpC4_C3_N3,L_afpC4_C3_O1,L_afpC4_C3_O2,L_afpC4_C4_C4,L_afpC4_C4_F1,L_afpC4_C4_H1,L_afpC4_C4_N2,L_afpC4_C4_N3,L_afpC4_C4_O2,L_afpC4_N2_C4,L_afpC4_N2_N2,L_afpC4_N3_C4,L_afpC4_N3_H1,L_afpC4_O2_C4,L_afpC4_O2_H1,L_afpC4_O2_P4,L_afpC4_P4_H1,L_afpC4_P4_O1,L_afpC4_P4_O2,L_afpF1_C4_F1,L_afpF1_C4_O2,L_afpF1_Si4_F1,L_afpH1_C3_N2,L_afpH1_C3_N3,L_afpH1_C3_O1,L_afpH1_C3_O2,L_afpH1_C4_H1,L_afpH1_C4_N2,L_afpH1_C4_N3,L_afpH1_C4_O2,L_afpH1_C4_P4,L_afpH1_N3_H1,L_afpH1_N3_N2,L_afpH1_N3_N3,L_afpH1_O2_N3,L_afpH1_O2_P3,L_afpH1_O2_P4,L_afpH1_P4_O1,L_afpH1_P4_O2,L_afpN2_C3_N2,L_afpN2_C3_N3,L_afpN2_C4_N2,L_afpN2_N2_N3,L_afpN2_N3_N2,L_afpN3_C3_O1,L_afpN3_O2_P4,L_afpO1_C3_O1,L_afpO1_C3_O2,L_afpO1_N3_O2,L_afpO1_P3_O2,L_afpO1_P4_O2,L_afpO2_P3_O2,L_afpO2_P4_O2,L_afpP4_C4_P4,L_efpfam_acrylate,L_efpfam_ketone,L_efpfam_polyamides,L_efpfam_polyanhydrides,L_efpfam_single,L_efpnorm_mol_wt,L_efpnumatoms_none_H,L_efpring,L_mfpChi0n,L_mfpChi0v,L_mfpChi1n,L_mfpChi1v,L_mfpChi2n,L_mfpChi2v,L_mfpHallKierAlpha,L_mfpMQNs13,L_mfpMQNs14,L_mfpMQNs15,L_mfpMQNs16,L_mfpMQNs17,L_mfpMQNs19,L_mfpMQNs20,L_mfpMQNs21,L_mfpMQNs24,L_mfpMQNs25,L_mfpMQNs26,L_mfpMQNs27,L_mfpMQNs28,L_mfpMQNs29,L_mfpMQNs30,L_mfpMQNs31,L_mfpMQNs32,L_mfpMQNs35,L_mfpMQNs36,L_mfpMQNs40,L_mfpMQNs41,L_mfpMQNs42,L_mfpNumAliphaticRings,L_mfpNumAromaticRings,L_mfptpsa,L_linkermetalratio,L_no,L_noh,L_nh2o
1,Bio-MOF-14(95),3,Co2(AD)2(C4H9CO2)2,['Co'],['2'],1.35,1.88,2,0.66226,7.881,Co2(AD)2(C4H9CO2)2,"['AD', 'C4H9CO2']","[2.0, 2.0]",7.565,0,0,0,0,0,0.033333333,0,0,0,0,0.1,0.1,0,0,0,0,0,0.03125,0,0.0625,0,0,0,0,0.1,0,0,0,0.033333333,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.033333333,0,0,0.1875,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.5,0,0,0,0,0.638707465,0.552083333,0.45,0.709426117,0.261509451,0.346436158,0.127756465,0.075469596,0.075469596,0.0715625,0.6375,0.03125,0,0.166666667,0.166666667,0.158333333,0.291666667,0.229166667,0,0,0.0625,0,0.064583333,0.125,0.1,0.2,0,0.033333333,0.033333333,0,0.066666667,0.033333333,0,0.066666667,0.959494792,2,0,0,0
2,"MIL-101(Cr)(28, 44, 49-51, 53, 62, 167)",3,Cr3F(H2O)2O(BDC)3,['Cr'],['3'],1.4,1.66,3,0.675,6.7665,Cr3F(H2O)2O(BDC)3,"['BDC', 'O', 'F', 'H2O']","[3.0, 1.0, 1.0, 2]",3.2825,0,0,0,0,0,0.416666667,0,0,0,0.333333333,0,0,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0.75,0,0,0,0.25,0.785243056,0.625,0.375,0.656953608,0.281953608,0.281953608,0.117354024,0.076038123,0.076038123,0.085416667,0.541666667,0.083333333,0,0.125,0.125,0.083333333,0.333333333,0.166666667,0,0,0.208333333,0.083333333,0.083333333,0,0,0.25,0,0,0.041666667,0,0,0,0,0.041666667,0.777083333,1.333333333,0.333333333,0,0.666666667
3,"MIL-101-SO3H (Cr)(51, 301)",3,Cr3F(H2O)2O(BDC-SO3H)3,['Cr'],['3'],1.4,1.66,3,0.675,6.7665,Cr3F(H2O)2O(BDC-SO3H)3,"['BDCSO3H', 'O', 'F', 'H2O']","[3.0, 1.0, 1.0, 2]",-1.3525,0,0,0,0,0,0.340909091,0,0,0,0.204545455,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0.75,0,0,0,0.25,0.907816288,0.670454545,0.28125,0.624495093,0.322784749,0.26015575,0.168029626,0.084653293,0.129533858,0.074545455,0.534090909,0.136363636,0,0.102272727,0.102272727,0.136363636,0.477272727,0.238636364,0,0,0.261363636,0.102272727,0.068181818,0.034090909,0,0.204545455,0,0,0.034090909,0,0,0,0,0.034090909,1.099176136,1.333333333,0.333333333,0,0.666666667
4,"MIL-96(Al)(299, 302)",3,Al12O(OH)18(H2O)3(Al2(OH)4)(BTC)6,['Al'],['14'],1.25,1.61,3,0.43283,5.9858,Al12O(OH)18(H2O)3(Al2(OH)4)(BTC)6,"['BTC', 'O', 'OH', 'H2O']","[6.0, 1.0, 22.0, 3]",3.14,0,0,0,0,0,0.571428571,0,0,0,0.285714286,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,1,0,0,0,0,0.833892857,0.714285714,0.4,0.616642369,0.330928083,0.295213797,0.165464041,0.112493926,0.112493926,0.112857143,0.571428571,0.142857143,0,0.142857143,0.142857143,0.142857143,0.571428571,0.285714286,0,0,0.142857143,0.142857143,0.142857143,0,0,0.285714286,0,0,0.047619048,0,0,0,0,0.047619048,1.332142857,0.428571429,0.071428571,1.571428571,0.214285714
5,N/A(261),3,Ni3(BTP)2,['Ni'],['3'],1.35,1.91,2,1.15716,7.6398,Ni3(BTP)2,['BTP'],[2.0],14.07,0,0,0,0,0,0.636363636,0,0,0,0.363636364,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697734848,0.636363636,1,0.672220654,0.30858429,0.349493381,0.172473963,0.118055163,0.118055163,0.095454545,0.454545455,0,0,0.333333333,0.303030303,0.090909091,0.181818182,0.181818182,0,0,0,0,0,0,0.090909091,0.545454545,0,0.090909091,0.03030303,0,0,0,0,0.121212121,0.651818182,0.666666667,0,0,0
6,PCN-222(Fe)(264),3,Zr6(Ã«_3- OH)8(OH)8-(TCPP)2Cl,"['Fe', 'Zr']","['2','6']",1.5125,1.455,3.75,0.363284,6.951025,Zr6(Ã«_3- OH)8(OH)8-(TCPP)2Cl,"['TCPP', 'OH', 'Cl']","[2.0, 16.0, 1.0]",-0.093333333,0,0,0,0,0,0.474074074,0,0,0,0.37037037,0.059259259,0.074074074,0.02962963,0.02962963,0,0,0,0,0,0,0,0,0,0,0.014814815,0,0,0,0.02962963,0,0.014814815,0,0,0,0,0,0,0.02962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02962963,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.994543519,0.611111111,0.533333333,0.66710401,0.404203279,0.29244342,0.12144781,0.087652678,0.087652678,0.112333333,0.477777778,0.02962963,0,0.2,0.185185185,0.059259259,0.148148148,0.088888889,0,0,0.196296296,0.02962963,0.02962963,0,0.014814815,0.340740741,0,0.02962963,0.02962963,0.007407407,0.088888889,0.059259259,0.014814815,0.051851852,0.362407407,0.375,0,2,0
7,PCN-224(M)(266),3,Zr6(Ã«_3- OH)8(OH)8-(TCPP)2,"['Ni', 'Zr']","['2','6']",1.5,1.475,3.5,0.614265,6.885375,Zr6(Ã«_3- OH)8(OH)8-(TCPP)2,"['TCPP', 'OH']","[2.0, 16.0]",3.36,0,0,0,0,0,0.711111111,0,0,0,0.555555556,0.088888889,0.111111111,0.044444444,0.044444444,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0.044444444,0,0.022222222,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,1,0,0,0,0,0.732211111,0.666666667,0.8,0.656164897,0.322831563,0.344174012,0.182171715,0.131479017,0.131479017,0.096,0.466666667,0.044444444,0,0.3,0.277777778,0.088888889,0.222222222,0.133333333,0,0,0.044444444,0.044444444,0.044444444,0,0.022222222,0.511111111,0,0.044444444,0.044444444,0.011111111,0.133333333,0.088888889,0.022222222,0.077777778,0.543611111,0.25,0,2,0
8,"ZIF-8(28, 62, 63, 105, 293)",3,Zn(MEIM)2,['Zn'],['1'],1.35,1.65,2,-0.62,9.3942,Zn(MEIM)2,['MEIM'],[2.0],13.92,0,0,0,0,0,0,0,0,0,0.166666667,0.083333333,0.083333333,0,0,0,0,0,0,0,0.25,0,0,0,0,0.083333333,0,0,0,0.083333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570180556,0.5,0.833333333,0.741202266,0.241202266,0.361803399,0.116202266,0.064235033,0.064235033,0.065833333,0.583333333,0,0,0.25,0.166666667,0.083333333,0.166666667,0.166666667,0,0,0,0,0,0.083333333,0.083333333,0.333333333,0,0.083333333,0,0,0,0,0,0.083333333,0.5975,2,0,0,0
9,Al-PMOF(303),3,TCPP(AlOH)2,['Al'],['2'],1.25,1.61,3,0.43283,5.9858,TCPP(AlOH)2,"['TCPP', 'OH']","[1.0, 2.0]",3.36,0,0,0,0,0,0.711111111,0,0,0,0.555555556,0.088888889,0.111111111,0.044444444,0.044444444,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0.044444444,0,0.022222222,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,1,0,0,0,0,0.732211111,0.666666667,0.8,0.656164897,0.322831563,0.344174012,0.182171715,0.131479017,0.131479017,0.096,0.466666667,0.044444444,0,0.3,0.277777778,0.088888889,0.222222222,0.133333333,0,0,0.044444444,0.044444444,0.044444444,0,0.022222222,0.511111111,0,0.044444444,0.044444444,0.011111111,0.133333333,0.088888889,0.022222222,0.077777778,0.543611111,0.5,0,1,0
10,JUC-110(93),3,Cd(HTHIPC)2,['Cd'],['1'],1.55,1.69,2,-0.725,8.9938,Cd(HTHIPC)2,['THIPC'],[2.0],1.31,0,0,0,0,0,0,0.095238095,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0.095238095,0,0.238095238,0,0.095238095,0,0,0.047619048,0,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0,0.142857143,0,0.047619048,0,0,0,0.047619048,0.095238095,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0.095238095,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,1,0,0,0,0,0.663365079,0.571428571,0.75,0.698006541,0.269435113,0.347741169,0.142851861,0.095499594,0.095499594,0.064761905,0.523809524,0.047619048,0,0.380952381,0.095238095,0.047619048,0.333333333,0.238095238,0,0,0.047619048,0.047619048,0.047619048,0,0.047619048,0.238095238,0.142857143,0.047619048,0.047619048,0,0.095238095,0.047619048,0.047619048,0.047619048,0.928690476,2,0,0,0
