ID,chemical_name,Activated Formula,doi,ccdc_number,Metal,Nmetal,Linkers,Nlinker,CSD_identifier,L_afpC2_C2_C3,L_afpC2_C2_C4,L_afpC2_C3_C3,L_afpC2_C4_C3,L_afpC2_C4_H1,L_afpC3_C3_C3,L_afpC3_C3_C4,L_afpC3_C3_H1,L_afpC3_C3_N2,L_afpC3_C3_N3,L_afpC3_C3_O1,L_afpC3_C3_O2,L_afpC3_C4_C3,L_afpC3_C4_H1,L_afpC3_C4_P4,L_afpC3_N2_C3,L_afpC3_N2_N2,L_afpC3_N2_N3,L_afpC3_N3_C3,L_afpC3_N3_C4,L_afpC3_N3_H1,L_afpC3_N3_N2,L_afpC3_O2_C3,L_afpC3_O2_H1,L_afpC4_C3_H1,L_afpC4_C3_N3,L_afpC4_C3_O1,L_afpC4_C3_O2,L_afpC4_N3_C4,L_afpC4_N3_H1,L_afpC4_O2_H1,L_afpC4_P4_O1,L_afpC4_P4_O2,L_afpH1_C3_H1,L_afpH1_C3_N2,L_afpH1_C3_N3,L_afpH1_C3_O1,L_afpH1_C4_H1,L_afpH1_C4_N3,L_afpH1_C4_O2,L_afpH1_C4_P4,L_afpH1_N3_H1,L_afpH1_N3_N2,L_afpH1_O2_O2,L_afpH1_O2_P4,L_afpN2_C3_N2,L_afpN2_N2_N3,L_afpN2_N3_N2,L_afpN3_C3_O1,L_afpO1_C3_O2,L_afpO1_P4_O2,L_afpO2_O2_P4,L_afpO2_P4_O2,L_efpfam_acrylate,L_efpfam_polyamides,L_efpfam_single,L_efpnorm_mol_wt,L_efpnumatoms_none_H,L_efpring,L_linkermetalratio,L_mfpChi0n,L_mfpChi0v,L_mfpChi1n,L_mfpChi1v,L_mfpChi2n,L_mfpChi2v,L_mfpHallKierAlpha,L_mfpMQNs13,L_mfpMQNs14,L_mfpMQNs15,L_mfpMQNs16,L_mfpMQNs17,L_mfpMQNs19,L_mfpMQNs20,L_mfpMQNs21,L_mfpMQNs26,L_mfpMQNs27,L_mfpMQNs28,L_mfpMQNs29,L_mfpMQNs30,L_mfpMQNs31,L_mfpMQNs32,L_mfpMQNs35,L_mfpMQNs36,L_mfpMQNs40,L_mfpMQNs41,L_mfpMQNs42,L_mfpNumAliphaticRings,L_mfpNumAromaticRings,L_mfptpsa,L_nh2o,L_no,L_noh,M_Affinity,M_AtomicRadii,M_Electronegativity,M_Ionization,M_Valency,L_afpC3_C3_F1,L_afpC4_C4_N3,L_efpfam_ketone,pred_2class,pred_3class
1,CAU-1,[Al4(OH)2(OCH3)4(H2N-bdc)3],https://doi.org/10.1016/j.cej.2014.02.070,,['Al'],[4],"['BDCNH2','OCH3','OH']","[3,4,2]",,0,0,0,0,0,0.214285714,0,0.128571429,0,0.042857143,0.042857143,0.042857143,0,0,0,0,0,0,0,0,0.042857143,0,0,0.042857143,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0.285714286,0,0.285714286,0,0.021428571,0,0,0,0,0,0,0,0.042857143,0,0,0,0.428571429,0,0.571428571,0.577778373,0.469047619,0.197802198,1.75,0.747742363,0.216789982,0.335128909,0.084585467,0.043896895,0.043896895,0.04752381,0.733333333,0.042857143,0,0.064285714,0.064285714,0.15952381,0.383333333,0.202380952,0.042857143,0.138095238,0.064285714,0.095238095,0,0.128571429,0,0,0.021428571,0,0,0,0,0.021428571,1.020702381,0,0,0.5,0.43283,1.25,1.61,5.9858,3,0,0,0,1,0
2,,[Cd2(TBA)2(bipy)(DMA)2],https://pubs.rsc.org/en/content/articlehtml/2015/ra/c4ra16599c,,['Cd'],[2],"['TBA','bipy','DMA']","[2,1,2]",,0,0,0,0,0,0.3,0,0.28,0.08,0,0.02,0.02,0,0.08,0,0.02,0.02,0.02,0,0.053333333,0,0,0,0.02,0,0.026666667,0.026666667,0,0.026666667,0,0,0,0,0,0.04,0,0,0.24,0.16,0,0,0,0.04,0,0,0.02,0.02,0.02,0.026666667,0.02,0,0,0,0.4,0.4,0,0.640697778,0.56,0.514285714,2.5,0.707196941,0.267196941,0.347661268,0.130552031,0.081088872,0.081088872,0.075933333,0.616666667,0.046666667,0,0.18,0.16,0.13,0.26,0.193333333,0.046666667,0.02,0.073333333,0.08,0.08,0.26,0,0.02,0.04,0,0,0,0,0.06,0.65865,0,0,0,-0.725,1.55,1.69,8.9938,2,0,0,0,1,1
3,,[La2(pyzdc)3(H2O)4],https://onlinelibrary.wiley.com/doi/full/10.1002/chem.201403241,,['La'],[2],"['pyzdc','H2O']","[3,4]",,0,0,0,0,0,0.125,0,0.125,0.375,0,0.125,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,1,0,0,0.8755625,0.75,0.5,1.5,0.595463772,0.345463772,0.282963772,0.169432736,0.107458884,0.107458884,0.12375,0.5,0.125,0,0.1875,0.1875,0.125,0.625,0.375,0.125,0.125,0.125,0,0.125,0.25,0,0,0.0625,0,0,0,0,0.0625,1.5684375,2,0,0,0.47,1.95,1.1,5.5769,3,0,0,0,1,1
4,MAF-X25ox ,[Mn2(OH)Cl2(bbta)],https://pubs.rsc.org/en/content/articlehtml/2015/ee/c4ee02717e,,['Mn'],[2],"['bbta','Cl','OH']","[1,2,1]",,0,0,0,0,0,0.125,0,0.083333333,0.083333333,0.083333333,0,0,0,0,0,0,0.041666667,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.666666667,1.290826389,0.583333333,0.333333333,1.5,0.661056524,0.496366172,0.232005957,0.066550566,0.046319013,0.046319013,0.137916667,0.416666667,0,0,0.145833333,0.145833333,0,0.125,0.125,0.333333333,0,0,0,0.083333333,0.166666667,0,0.041666667,0.020833333,0,0.083333333,0.041666667,0,0.0625,0.433020833,0,0,0.5,-0.52,1.4,1.55,7.434,2,0,0,0,1,0
5,MIL-68,Fe(OH)(bdc),,,['Fe'],[1],"['BDC','OH']","[1,1]",,0,0,0,0,0,0.555555556,0,0.444444444,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,1,0,0,0.76912963,0.666666667,0.5,1,0.646277398,0.312944065,0.312944065,0.156472032,0.101384164,0.101384164,0.102222222,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0.111111111,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,0,0,1,0.153236,1.4,1.83,7.9024,3,0,0,0,1,0
6,MIL-160,Al(O5C6H2)(OH),https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201502418,,['Al'],[1],"['C4','OH']","[1,1]",,0,0,0,0,0,0.266666667,0,0.266666667,0,0,0.133333333,0.4,0,0,0,0,0,0,0,0,0,0,0.066666667,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,1,0,0,0.867183333,0.733333333,0.454545455,1,0.60274943,0.336082763,0.286082763,0.164982991,0.105681688,0.105681688,0.118666667,0.533333333,0.133333333,0,0.2,0.133333333,0.133333333,0.666666667,0.333333333,0.133333333,0.133333333,0.133333333,0,0.066666667,0.266666667,0,0.066666667,0,0,0,0,0,0.066666667,1.462333333,0,0,1,0.43283,1.25,1.61,5.9858,3,0,0,0,1,0
7,Na-HPAA,Na2(OOCCH(OH)PO3H)(H2O)4,https://pubs.acs.org/doi/abs/10.1021/cm502716e,,['Na'],[2],"['C1','H2O']","[1,4]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.071428571,0,0,0,0,0,0,0,0,0.071428571,0,0,0.071428571,0.071428571,0,0,0,0.071428571,0.142857143,0,0,0,0,0.071428571,0,0,0.142857143,0,0,0.071428571,0.071428571,0,0,0,0,0.071428571,0.142857143,0.071428571,0.071428571,1,0,0,0.92875,0.642857143,0,0.5,0.63547881,0.342223609,0.272927799,0.224207359,0.06937604,0.167062764,0.03,0.785714286,0.142857143,0,0,0,0.357142857,0.857142857,0.428571429,0.142857143,0.285714286,0.071428571,0.142857143,0,0,0,0,0,0,0,0,0,0,1.858214286,2,0,0,0.53,1.8,0.93,5.1391,1,0,0,0,1,0
8,NU-1100,Zr6(OH)4(OH)4(L)4,https://onlinelibrary.wiley.com/doi/full/10.1002/chem.201402895,,['Zr'],[6],"['C2','OH']","[4,8]",,0.0625,0.020833333,0.125,0.041666667,0.020833333,0.583333333,0.0625,0.520833333,0,0,0,0.083333333,0.020833333,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0.020833333,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670920139,0.625,0.666666667,0.666666667,0.683677012,0.308677012,0.356244685,0.172567673,0.123088506,0.123088506,0.088958333,0.541666667,0.041666667,0.041666667,0.25,0.197916667,0.083333333,0.083333333,0.041666667,0,0.125,0.083333333,0,0,0.395833333,0.020833333,0,0.083333333,0,0.0625,0.052083333,0.020833333,0.0625,0.210729167,0,0,1.333333333,0.4333,1.55,1.33,6.6339,4,0,0,0,1,0
9,PCN-230,Zr6(OH)4O4(TCP-3)3DMF30(H2O)10,https://pubs.acs.org/doi/abs/10.1021/ja5111317,,['Zr'],[6],"['DMF','TCP','OH','O','H2O']","[30,3,4,4,10]",,0,0,0,0,0,0.068686869,0,0.048484848,0.008080808,0.008080808,0.004040404,0.004040404,0,0,0,0.002020202,0,0,0.002020202,0.151515152,0.004040404,0,0,0.004040404,0,0,0,0,0.075757576,0,0,0,0,0,0,0.075757576,0.075757576,0.454545455,0.454545455,0,0,0,0,0,0,0,0,0,0.075757576,0.004040404,0,0,0,0.090909091,0.909090909,0,0.52802298,0.439393939,0.072727273,5.5,0.768398467,0.207792406,0.362697079,0.082871402,0.04433151,0.04433151,0.048878788,0.8,0.07979798,0,0.027272727,0.025252525,0.15959596,0.247474747,0.163636364,0.07979798,0.004040404,0.155555556,0.151515152,0.002020202,0.046464646,0,0.004040404,0.004040404,0.001010101,0.012121212,0.008080808,0.002020202,0.007070707,0.436820707,1.666666667,0.666666667,0.666666667,0.4333,1.55,1.33,6.6339,4,0,0,0,1,0
10,PCP-33 ,(Cu4Cl)(BTBA)8((CH3)2NH2)(H2O)12,https://pubs.acs.org/doi/abs/10.1021/ic5030058,,['Cu'],[4],"['BTBA','CNC','Cl','H2O']","[8,1,1,12]",,0,0,0,0,0,0.384,0,0.192,0.128,0,0.032,0.032,0,0,0,0,0.064,0.064,0,0,0,0,0,0.032,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0.128,0,0,0.064,0.064,0.064,0,0.032,0,0,0,0.8,0,0.2,0.878027667,0.688,0.673684211,2.5,0.629984931,0.355781378,0.299613726,0.156557751,0.103276176,0.103276176,0.11634,0.46,0.032,0,0.256,0.256,0.116,0.394,0.33,0.082,0.032,0.042,0.02,0.192,0.32,0,0.064,0.032,0,0,0,0,0.096,1.199835,3,0,0,1.23578,1.35,1.9,7.7264,2,0,0,0,1,0
